i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
28,1.81200125,1.8118057589285714,0.0018346473025839805,2.6913214509438053,0.0018346473025840915,2.6913214509494883,1.1102230246251565e-16,5.683009618451251e-12,5,1.8174751,2.345236851693055,28,2.557935,0.0,28,2.6750154750000004,0.0,28,2.784490575,0.28466650568511037,28
29,1.8118057589285714,1.8116102678571429,0.0019831102396761224,2.6919479522121907,0.0019831102396761224,2.691947952223981,0.0,1.1790124432309312e-11,5,1.8174751,2.3585522138381525,29,2.557935,0.0,29,2.6750154750000004,0.0,29,2.784490575,0.28397549088145485,29
30,1.8116102678571429,1.8114147767857143,0.0021284111031559805,2.6925749131330523,0.0021284111031559805,2.692574913136064,0.0,3.0118130212031247e-12,5,1.8174751,2.3720196150024884,30,2.557935,0.0,30,2.6750154750000004,0.0,30,2.784490575,0.28328058341443346,30
31,1.8114147767857143,1.8112192857142857,0.002270483084453212,2.6932023346285696,0.002270483084453323,2.6932023346317755,1.1102230246251565e-16,3.205880005907602e-12,5,1.8174751,2.3856418198854903,31,2.557935,0.0,31,2.6750154750000004,0.0,31,2.784490575,0.28258172970636364,31
32,1.8112192857142857,1.8110237946428571,0.002409257612245863,2.6938302176241997,0.002409257612245752,2.6938302176188853,1.1102230246251565e-16,5.314415574275699e-12,5,1.8174751,2.3994216624151767,32,2.557935,0.0,32,2.6750154750000004,0.0,32,2.784490575,0.28187887503804954,32
33,1.8110237946428571,1.8108283035714285,0.0025446642943766085,2.6944585630487,0.0025446642943764974,2.6944585630506412,1.1102230246251565e-16,1.9411139362546237e-12,5,1.8174751,2.413362047963136,33,2.557935,0.0,33,2.6750154750000004,0.0,33,2.784490575,0.28117196351606266,33
34,1.8108283035714285,1.8106328125,0.0026766308574697195,2.6950873718341652,0.0026766308574697195,2.6950873718375967,0.0,3.431477324511434e-12,5,1.8174751,2.4274659556462184,34,2.557935,0.0,34,2.6750154750000004,0.0,34,2.784490575,0.2804609380388413,34
35,1.8106328125,1.8104373214285714,0.0028050830840992136,2.69571664491602,0.0028050830840991026,2.695716644914968,1.1102230246251565e-16,1.0520473381347983e-12,5,1.8174751,2.441736440717907,35,2.557935,0.0,35,2.6750154750000004,0.0,35,2.784490575,0.27974574026159776,35
36,1.8104373214285714,1.8102418303571428,0.0029299447474699924,2.696346383233081,0.0029299447474699924,2.696346383232514,0.0,5.6710192097853e-13,5,1.8174751,2.456176637055803,36,2.557935,0.0,36,2.6750154750000004,0.0,36,2.784490575,0.2790263105598904,36
37,1.8102418303571428,1.8100463392857142,0.0030511375433694976,2.69697658772754,0.0030511375433694976,2.696976587733217,0.0,5.6772364587232005e-12,5,1.8174751,2.4707897597465505,37,2.557935,0.0,37,2.6750154750000004,0.0,37,2.784490575,0.27830258799192165,37
