i,required_margin,required_argmin_y,num_check_points,stored_margin
69,0.004380945352373382848222604780725582253809015854460269053831612682751525034064157797593165,2.71739509836625587809147294409782972871078214891128812054114657119263951006146301242302116,5,0.004380945352373211
70,0.004317908041996820249709642895823292222193180218394254671357556436287588739609788049289722,2.71804123897781267183424571601163030317488218497789441795937806433318695813851176502198098,5,0.00431790804199661
71,0.004246551512719516975424797339928893787285243911965006544312125933082421797565231387788393,2.71868788000326242699567972713595136366765690190498527569663423011299597560198897952586508,5,0.004246551512719243
72,0.004166646560144372289345928097402380697488851136268335671404615936118110880285713489916994,2.71933502252015692219890241707778627699645639053103219651814081122432306265621076634604346,5,0.004166646560143983
73,0.004077955738416054065104376357959900863590860047051788041919188696288440288220581674544616,2.71998266761043922460732575924982050655606582044998747614258773111320838870608821845444910,5,0.004077955738415628
74,0.003980232985987355408170542168804083631569282503283966016762870507937941274558401733528417,2.72063081636046061032821926527130139574144260440452210523188745193640489558700706460051204,5,0.003980232985987042
75,0.003873223230654528069352282689126436600372925142155645955763937390027870758827326240123072,2.72127946986102877352084971855715004045578458414740977501868666951469438173416002071375760,5,0.003873223230654199
76,0.003756661972572483542443282758800378497222306595050288468071441731737957241281299439285180,2.72192862920740762309256030956354714169754187917193326286940363178313698533974910308217946,5,0.003756661972572406
77,0.003630274843802291278816564371088417696360103668440893703312314282242040008315815855765839,2.72257829549937513771344206309785334044728281972220022238354465655175627480542690329045396,5,0.0036302748438021837
78,0.003493777142754727786259906191881143353201374973130252971552024580775358540789693743793792,2.72322846984122637632234428165326159112034016374554010545646534374584748958729300591649106,5,0.0034937771427545616
79,0.003346873341923468226772323215747052518761337792590105890714640336946009344623664272728815,2.72387915334181378713716201487387560503016878060604638706543527836930834973015207300102590,5,0.0033468733419232954
80,0.003189256566961404285908589522579963249946600055032450884292397694661417335581144916479163,2.72453034711456433653725626545542336825566468217246521310421255722183507173656986583288478,5,0.0031892565669611184
81,0.003020608045342682687558372320159830979259613874373856127001696239973382725882927222183454,2.72518205227750539198859985473090725118707144292442619649398474267575663271024288734303496,5,0.0030206080453425432
82,0.002840596522280627366401793931960296489511534811782093077709846021607196764779833127837547,2.72583426995329582146983944109778204467826569148006966222310881697939123565173182751199936,5,0.002840596522280636
83,0.002648877641654748752471116838100150334423399129162382559924059426155868877203500066521382,2.72648700126922093750835201655569555638913278856901433822612531510475882811817542230891764,5,0.0026488776416546678
84,0.002445093289640832775682030101546248435678625138011960467160468962234183871476964835628561,2.72714024735723823476197088959985655252723245326806019834053902847343360309404897146939860,5,0.0024450932896407096
85,0.002228870898049694282820238112610620684665412081460386490519911477783982062718547303299531,2.72779400935398060272237687013204528406642772919382890057318242294053452409326997993049112,5,0.002228870898049351
86,0.001999857116807312561753240590805666880469993031406839883261399596278550238480673783086700,2.72844829566254952303284979066776653956223585406408494743442167787237500652425594156693106,5,0.001999857116807169
87,0.001757582595178250407517191122614333774770681212697199072968307191657770939618762717345521,2.80046727678571428646,5,0.0017575825951803847
88,0.001501658281898333107594535181490664661566411969262455133796297564698288224439222987108444,2.72975841086090114283710132825326039140798232302097132903149562777940320687146811234205024,5,0.0015016582818980773
89,0.001231645946788087988732512594546983340393946195651554699371427505474638592604704500935704,2.80007629464285714362,5,0.001231645946791149
90,0.000947088712914279343347244375228131860094043493369233575853995702373788634541676033765929,2.79988080357142857220,5,0.0009470887129177097
91,0.000647510049090389243526428249790756600945767216185516809397807131057810346824260223774906,2.79968531250000000078,5,0.0006475100490941355
92,0.000229780792766058618441372100969025537323451043985981240646546543130170175102851288922040,2.79948982142857142936,5,0.00022978079277002905
93,0.000108416567720212943139865186868504171409316358441179938761798508860361487073258297867321,0.79909883928571428652,5,0.00010841656771978792
94,0.006312433639898021970109442383767358063948404404098864276675331591207259325715373633899410,2.74108956148362823712890602470408155900617665677958695251045002915294346611730279673799365,6,0.006312433639897641
95,0.006281484309367355476169561402060427116846673315713398681238410077248170267612646861961994,2.74163807909626992072586257660410037909842342661201494908130043885922882664599943806869871,6,0.006281484309367036
96,0.006243031737711615287646581124586987336492118697345699477970666688403932129109596610144973,2.74218273158439375222509957996801007402433038823823738263263301091302306194008292509460834,6,0.0062430317377113465
